"FUENTE"|"FECHA"|"PI_NCF"|"PI_NOMBRE"|"PI_RNC"|"PI_TOTAL"|"PI_EXONERACION"|"PI_PCT_LEY"|"PI_IVA"|"MONTO"
"PATEPALO"|20180302|"-"|"-"|"-"|6556.49|" -   "|512.27|922.09|5122.13
"PATEPALO"|20180302|"-"|"-"|"-"|6118.40|" -   "|478.00|860.40|4780.00
"PATEPALO"|20180302|"-"|"-"|"-"|4403.60|" -   "|344.03|619.26|3440.31
"PATEPALO"|20180302|"-"|"-"|"-"|3642.39|" -   "|284.56|512.21|2845.62
"PATEPALO"|20180302|"-"|"-"|"-"|3123.20|" -   "|244.00|439.20|2440.00
"PATEPALO"|20180302|"-"|"-"|"-"|4230.40|" -   "|330.50|594.90|3305.00
"PATEPALO"|20180302|"-"|"-"|"-"|4428.80|" -   "|346.00|622.80|3460.00
"PATEPALO"|20180302|"-"|"-"|"-"|11046.40|" -   "|863.00|1553.40|8630.00
"PATEPALO"|20180302|"-"|"-"|"-"|1821.44|" -   "|142.30|256.14|1423.00
"PATEPALO"|20180302|"-"|"-"|"-"|4425.93|" -   "|345.78|622.40|3457.75
"PATEPALO"|20180302|"-"|"-"|"-"|3194.00|" -   "|249.53|449.16|2495.31
"PATEPALO"|20180302|"-"|"-"|"-"|10598.40|" -   "|828.00|1490.40|8280.00
"PATEPALO"|20180302|"-"|"-"|"-"|3680.00|" -   "|287.50|517.50|2875.00
"PATEPALO"|20180302|"-"|"-"|"-"|9760.00|" -   "|762.50|1372.50|7625.00
"PATEPALO"|20180302|"-"|"-"|"-"|6739.20|" -   "|526.50|947.70|5265.00
"PATEPALO"|20180302|"-"|"-"|"-"|409.60|" -   "|32.00|57.60|320.00
"PATEPALO"|20180302|"-"|"-"|"-"|10617.60|" -   "|829.50|1493.10|8295.00
"PATEPALO"|20180302|"-"|"-"|"-"|3680.00|" -   "|287.50|517.50|2875.00
"PATEPALO"|20180302|"-"|"-"|"-"|4109.99|" -   "|321.09|577.97|3210.93
"PATEPALO"|20180302|"-"|"-"|"-"|17612.80|" -   "|1376.00|2476.80|13760.00
"PATEPALO"|20180302|"-"|"-"|"-"|10261.58|" -   "|801.69|1443.03|8016.86
"PATEPALO"|20180302|"-"|"-"|"-"|6835.20|" -   "|534.00|961.20|5340.00
"PATEPALO"|20180302|"-"|"-"|"-"|2496.00|" -   "|195.00|351.00|1950.00
"PATEPALO"|20180302|"-"|"-"|"-"|11385.60|" -   "|889.50|1601.10|8895.00
"PATEPALO"|20180302|"-"|"-"|"-"|15948.80|" -   "|1246.00|2242.80|12460.00
"PATEPALO"|20180302|"-"|"-"|"-"|6413.99|" -   "|501.09|901.97|5010.93
"PATEPALO"|20180302|"-"|"-"|"-"|12847.69|" -   "|1003.73|1806.71|10037.25
"PATEPALO"|20180302|"-"|"-"|"-"|768.00|" -   "|60.00|108.00|600.00
"PATEPALO"|20180302|"-"|"-"|"-"|6777.60|" -   "|529.50|953.10|5295.00
"PATEPALO"|20180302|"-"|"-"|"-"|10572.80|" -   "|826.00|1486.80|8260.00
"PATEPALO"|20180302|"-"|"-"|"-"|4334.79|" -   "|338.66|609.58|3386.55
"PATEPALO"|20180302|"-"|"-"|"-"|17652.52|" -   "|1379.10|2482.39|13791.03
"PATEPALO"|20180302|"-"|"-"|"-"|2969.60|" -   "|232.00|417.60|2320.00
"PATEPALO"|20180302|"-"|"-"|"-"|5632.00|" -   "|440.00|792.00|4400.00
"PATEPALO"|20180302|"-"|"-"|"-"|13715.33|" -   "|1071.51|1928.72|10715.10
"PATEPALO"|20180302|"-"|"-"|"-"|6861.59|" -   "|536.06|964.91|5360.62
"PATEPALO"|20180302|"-"|"-"|"-"|2976.00|" -   "|232.50|418.50|2325.00
"PATEPALO"|20180302|"-"|"-"|"-"|5664.00|" -   "|442.50|796.50|4425.00
"PATEPALO"|20180302|"-"|"-"|"-"|204.80|" -   "|16.00|28.80|160.00
"PATEPALO"|20180302|"-"|"-"|"-"|6272.00|" -   "|490.00|882.00|4900.00
"PATEPALO"|20180302|"-"|"-"|"-"|2534.80|" -   "|198.03|356.46|1980.31
"PATEPALO"|20180302|"-"|"-"|"-"|3654.40|" -   "|285.50|513.90|2855.00
"PATEPALO"|20180302|"-"|"-"|"-"|14067.20|" -   "|1099.00|1978.20|10990.00
"PATEPALO"|20180302|"-"|"-"|"-"|27350.77|" -   "|2136.78|3846.20|21367.79
"PATEPALO"|20180302|"-"|"-"|"-"|7379.20|" -   "|576.50|1037.70|5765.00
"PATEPALO"|20180302|"-"|"-"|"-"|19385.73|" -   "|1514.51|2726.12|15145.10
